titulo,sinopsis,estreno,genero,director,protagonistas,temporadas_totales,capitulos_totales,duracion_media_capitulo,calificacion_usuario,vistas_totales,image_cover
Perdidos en el espacio,"El profesor John Robinson decide abandonar la Tierra, con problemas de sobrepoblación, y mudarse con su esposa y sus dos hijos a un planeta habitable del sistema Alpha Centauri. Para ello, emprenden un viaje espacial durante el que permanecerán en animación suspendida, en la nave Jupiter 2 pilotada por el comandante Donald West, el mejor amigo de Robinson. Un agente extranjero intenta sabotear el viaje, lo que provocará que el Jupiter 2 se desvíe de su trayectoria. Emblemática serie de los 60, inspirada libremente en la novela Los robinsones suizos, de J. R. Wyss, pero en clave de ciencia ficción. La acción comienza en 1997, un año que parecía muy lejano en el tiempo cuando se rodó la serie. En 1998 se rodó una versión cinematográfica.",1965,Sci-Fi & Fantasy,Desconocido,"Guy Williams, June Lockhart, Mark Goddard, Marta Kristen, Angela Cartwright",3,83,60,7.1,0,Desconocido
Stargate SG-1,"Stargate SG-1 es una serie televisiva estadounidense derivada del largometraje de ciencia ficción 'Stargate: Puerta a las Estrellas' (1994). Producida por los estudios Metro Goldwyn Mayer. Esta serie se centra en las vivencias y aventuras de un equipo de militares y científicos miembros de un proyecto ultra-secreto de las Fuerzas Aéreas de los Estados Unidos, que utiliza un ingenio extraterrestre (Stargate) para desplazarse a otros planetas de manera casi instantánea.",1997,Sci-Fi & Fantasy,Desconocido,"Ben Browder, Amanda Tapping, Christopher Judge, Michael Shanks, Claudia Black",10,214,60,8.3,0,Desconocido
Stargate Atlantis,"Stargate Atlantis es una serie de ciencia-ficción basada en la serie Stargate SG-1 que se estrenó el 16 de julio de 2004 en el Sci-Fi channel americano. Pensada en un principio para suceder a Stargate SG-1, cuando éste fue renovada por una nueva temporada, la acción de Stargate Atlantis se trasladó a la galaxia de Pegaso. La serie fue un éxito instántaneo, superando incluso, en ocasión, a su predecesora.

La historia de la serie parte del final de la séptima temporada y el inicio de la octava de Stargate SG-1. Un grupo de científicos, entre los que se encuentran el Dr. Jackson, la Dra. Weir y el Dr. McKay, están estudiando el puesto avanzado de los Antiguos que O'Neill descubrió al final de la séptima temporada. El Dr. Jackson consigue averiguar que pasó con Atlantis: los Antiguos se la llevaron a otra galaxia, Pegaso, y tiene la dirección de donde fueron. El problema es que abrir el Stargate a otra galaxia gasta mucha energía, por lo que es posible que sea un viaje sin retorno. Sin embargo, una expedición científico-militar, capitaneada por la propia Weir, decide embancarse en la aventura y parte hacia la ciudad perdida de los Antiguos, Atlantis.

Una vez allí, se encontrarán con un enemigo mucho peor que los Goaul'd; los Wraith (Espectros), una raza que se alimenta de la energía vital de los seres humanos y que, 10.000 años atrás, obligaron a los Antiguos a abandonar Pegaso y volver a la Tierra.",2004,Sci-Fi & Fantasy,Desconocido,"Joe Flanigan, David Hewlett, Rachel Luttrell, Jewel Staite, Robert Picardo",5,100,60,8.0,0,Desconocido
The Mandalorian,"En el anárquico período tras el hundimiento del Imperio Galáctico, un cazarrecompensas con armadura conocido solo como El Mandaloriano emprende una misión bien remunerada aunque enigmática.",2019,Sci-Fi & Fantasy,Desconocido,"Pedro Pascal, Katee Sackhoff",3,24,60,8.435,0,Desconocido
Star Wars: Andor,"Ambientada cinco años antes de los eventos de la película Rogue One,​ la serie sigue al espía Cassian Andor durante los años de formación de la Alianza Rebelde.​ La serie muestra la transformación de Andor, un ladrón que se convierte en revolucionario y finalmente se une a la Rebelión contra el Imperio Galáctico.",2022,Sci-Fi & Fantasy,Desconocido,"Diego Luna, Stellan Skarsgård, Kyle Soller, Denise Gough, Adria Arjona",2,24,60,8.2,0,Desconocido
Fundación,"Basada en la fascinante obra de Isaac Asimov, Foundation gira en torno a un grupo de exiliados en el ocaso del Imperio Galáctico y su afán por salvar a la humanidad y reconstruir la civilización.",2021,Sci-Fi & Fantasy,Desconocido,"Jared Harris, Lee Pace, Lou Llobell, Leah Harvey, Laura Birn",2,20,60,7.8,0,Desconocido
Raised by Wolves,"Un misterioso planeta aparentemente deshabitado, dos androides tratan de llevar a cabo la misión que les ha sido encomendada: criar y proteger a un niño. Un objetivo que se complicará con la llegada inesperada de una colonia de humanos enfrentada por sus diferencias religiosas. Los androides no tardarán en descubrir que pretender controlar las creencias de los hombres puede ser una tarea difícil y peligrosa.",2020,Sci-Fi & Fantasy,Desconocido,"Amanda Collin, Abubakar Salim, Winta McGrath, Niamh Algar, Travis Fimmel",2,18,60,7.6,0,Desconocido
Humans,En un presente paralelo donde el último gadget que hay que tener para cualquier familia ocupada es un 'Synth' - un sirviente robótico altamente desarrollado que es tan similar a un humano real que está transformando la manera en que vivimos.,2015,Sci-Fi & Fantasy,Desconocido,"Katherine Parkinson, Gemma Chan, Emily Berrington, Lucy Carless, Colin Morgan",3,24,60,7.475,0,Desconocido
Doctor Who,"Doctor Who es una serie de televisión británica de ciencia ficción producida por la BBC. La denominada serie clásica, se emitió entre 1963 y 1989. 

El programa muestra las aventuras de un Señor del Tiempo conocido como ""El Doctor"", que explora el universo en su TARDIS, una nave espacial con conciencia propia capaz de viajar a través del tiempo y el espacio. Por fuera, simula ser una cabina de policía azul. Con la ayuda de distintos acompañantes, el Doctor se enfrenta a una variedad de enemigos mientras salva civilizaciones, visita tanto el pasado como el futuro, ayuda a gente común y corrige injusticias.",1963,Drama,Desconocido,"Sylvester McCoy, Sophie Aldred",26,694,60,7.9,0,Desconocido
Suits: la clave del éxito,"Michael Ross se gana la vida sobre la delgada línea de la legalidad. Es un joven con una inteligencia abrumadora, pero las malas compañías con las que se junta en la universidad le hicieron salirse y buscar una opción más vistosa a corto plazo, mejorar su economía. Entre sus triquiñuelas destaca el número de veces que se presenta en nombre de otros a los exámenes de corte de derecho. El azar le acabará situando en el despacho de uno de los abogados más jóvenes y brillantes de Manhattan, Harvey Specter. La inteligencia y dotes de Michael le asombrarán tanto que le tomará como su pupilo, a pesar de que no tenga la licenciatura. Juntos trabajarán mano a mano, ocultándole al resto del mundo la verdad: que juntos sólo suman un sólo título universitario.",2011,Drama,Desconocido,"Gabriel Macht, Rick Hoffman, Sarah Rafferty, Amanda Schull, Dulé Hill",9,134,60,8.23,0,Desconocido
12 monos,Sigue el viaje de un viajero en el tiempo desde el futuro post-apocalíptico que aparece en nuestros días a una misión para localizar y erradicar la fuente de una plaga mortal que eventualmente diezmará a la raza humana.,2015,Sci-Fi & Fantasy,Desconocido,"Aaron Stanford, Amanda Schull, Barbara Sukowa, Emily Hampshire, Alisen Down",4,47,60,7.4,0,Desconocido
Colony,"En un futuro cercano, en una Los Ángeles distópica y totalitaria, Will  Bowman (Josh Holloway) es un exagente del FBI que, para proteger a su  familia, se ve forzado a colaborar con el gobierno para derrocar a la  creciente resistencia ciudadana que procede de una colonia en el corazón  de la ciudad.",2016,Sci-Fi & Fantasy,Desconocido,"Josh Holloway, Sarah Wayne Callies, Tory Kittles, Peter Jacobson, Alex Neustaedter",3,36,60,6.8,0,Desconocido
Continuum,Una detective proveniente del año 2077 se encuentra atrapada en la Vancouver actual buscando a los criminales despiadados del futuro.,2012,Sci-Fi & Fantasy,Desconocido,"Rachel Nichols, Erik Knudsen, Victor Webster, Stephen Lobo, Omari Newton",4,42,60,7.5,0,Desconocido
The Walking Dead,"""The Walking Dead"" está ambientada en un futuro apocalíptico con la Tierra devastada por el efecto de un cataclismo, que ha provocado la mutación en zombies de la mayor parte de los habitantes del planeta. La serie, explora las dificultades de los protagonistas para sobrevivir en un mundo poblado por el horror, así como las relaciones personales que se establecen entre ellos, en ocasiones también una amenaza para su supervivencia.",2010,Action & Adventure,Desconocido,"Lauren Cohan, Norman Reedus, Jeffrey Dean Morgan, Melissa McBride, Christian Serratos",11,177,60,8.1,0,Desconocido
American Horror Story,"American Horror Story es una serie antológica de televisión, creada y producida por Ryan Murphy y Brad Falchuk. Cada una de sus temporadas narra una trama independiente, ambientada en lugares diferentes y cerrando siempre la historia; donde muchos actores repiten, pero siempre interpretando personajes distintos.",2011,Drama,Desconocido,"Emma Roberts, Matt Czuchry, Kim Kardashian, Annabelle Dexter-Jones, Michaela Jaé Rodriguez",12,132,60,8.1,0,Desconocido
Stranger Things,"A raíz de la desaparición de un niño, un pueblo desvela un misterio relacionado con experimentos secretos, fuerzas sobrenaturales aterradoras y una niña muy extraña.",2016,Drama,Desconocido,"Millie Bobby Brown, Finn Wolfhard, Gaten Matarazzo, Caleb McLaughlin, Joe Keery",5,42,60,8.601,0,Desconocido
La maldición de Hill House,"Un grupo de hermanos que, cuando eran niños, crecieron en lo que luego se convertiría en la casa embrujada más famosa del país. Ahora adultos, y forzados a volver a estar juntos frente a la tragedia, la familia finalmente debe enfrentarse a los fantasmas de su pasado — algunos de los cuales aún acechan en sus mentes, mientras que otros pueden acechar en las sombras",2018,Misterio,Desconocido,"Michiel Huisman, Elizabeth Reaser, Kate Siegel, Oliver Jackson-Cohen, Victoria Pedretti",1,10,60,8.1,0,Desconocido
Penny Dreadful,"Penny Dreadful es una serie de televisión estadounidense de horror y suspense, creada y escrita por John Logan junto con Sam Mendes para el canal Showtime. La serie entrelaza los orígenes de famosos personajes literarios de terror, como el Dr. Frankestein, Dorian Gray, Jack el Destripador o Drácula, que atacan con su monstruosa alienación en el Londres de la época victoriana.",2014,Sci-Fi & Fantasy,Desconocido,"Eva Green, Josh Hartnett, Timothy Dalton, Harry Treadaway, Reeve Carney",3,27,60,7.8,0,Desconocido
Misa de medianoche,"Una comunidad al borde de la extinción y ávida de fe recibe la llegada de un carismático sacerdote, que trae consigo milagros, misterios y un renovado fervor religioso.",2021,Misterio,Desconocido,"Hamish Linklater, Zach Gilford, Kate Siegel, Henry Thomas, Kristin Lehman",1,7,60,7.6,0,Desconocido
Bates Motel,"Precuela contemporánea de la película Psicosis, que nos hace un retrato íntimo de cómo se desarrolla la psique de Norman Bates durante sus años de adolescencia. Los fans descubrirán su historia de trasfondo oscuro y retorcido y conocerán de primera mano cuán profundamente intrincada es la relación con su madre, Norma, y cómo ello ayudó a forjar a uno de los asesinos en serie más famoso de todos los tiempos.",2013,Drama,Desconocido,"Vera Farmiga, Freddie Highmore, Max Thieriot, Olivia Cooke, Nestor Carbonell",5,50,60,8.1,0,Desconocido
Castle Rock,"Hay sangre en cada casa, J. J. Abrams se une a Stephen King en este thriller de terror inspirado en el inconfundible y extenso universo del autor. ""Castle Rock"" combina la mitología de King en una nueva saga épica de luz y oscuridad.",2018,Misterio,Desconocido,"Lizzy Caplan, Tim Robbins, Elsie Fisher, Yusra Warsama, Barkhad Abdi",2,20,60,7.2,0,Desconocido
The Terror,"En el año 1847, un equipo de expedición de la Marina Real británica es enviado al Ártico, en busca del Paso del Noroeste. Pero una vez allí es atacado por un misterioso depredador que acecha a los barcos y a sus tripulaciones en un juego desesperado de incertidumbre y supervivencia.",2018,Misterio,Desconocido,"George Takei, Kiki Sukezane, Shingo Usami, Naoko Mori, Miki Ishikawa",2,20,60,7.326,0,Desconocido
Breaking Bad,"Tras cumplir 50 años, Walter White (Bryan Cranston), un profesor de química de un instituto de Albuquerque, Nuevo México, se entera de que tiene un cáncer de pulmón incurable. Casado con Skyler (Anna Gunn) y con un hijo discapacitado (RJ Mitte), la brutal noticia lo impulsa a dar un drástico cambio a su vida: decide, con la ayuda de un antiguo alumno (Aaron Paul), fabricar anfetaminas y ponerlas a la venta. Lo que pretende es liberar a su familia de problemas económicos cuando se produzca el fatal desenlace.",2008,Drama,Desconocido,"Bryan Cranston, Aaron Paul, Anna Gunn, RJ Mitte, Dean Norris",5,62,60,8.9,0,Desconocido
Juego de tronos,"En una tierra donde los veranos duran décadas y los inviernos pueden durar toda una vida, los problemas acechan. Desde las maquinaciones del sur a las salvajes tierras del este, pasando por el helado norte y el milenario muro que protege el reino de las fuerzas tenebrosas, dos poderosas familias mantienen un enfrentamiento letal por gobernar los Siete Reinos de Poniente. Mientras la traición, la lujuria y las fuerzas sobrenaturales sacuden los pilares de los reinos, la sangrienta batalla por el trono de Hierro tendrá consecuencias imprevistas y trascendentales. El invierno se acerca. Que empiece 'Juego de tronos'.",2011,Sci-Fi & Fantasy,Desconocido,"Peter Dinklage, Kit Harington, Nikolaj Coster-Waldau, Lena Headey, Emilia Clarke",8,73,60,8.5,0,Desconocido
The Witcher,"Geralt, un brujo que se dedica a cazar monstruos genéticamente modificados, busca su lugar en un mundo donde a menudo los humanos demuestran ser peores que las bestias.",2019,Sci-Fi & Fantasy,Desconocido,"Henry Cavill, Anya Chalotra, Freya Allan, Joey Batey, MyAnna Buring",4,24,60,8.058,0,Desconocido
The Office,"Steve Carell protagoniza The Office, un fresco y divertido vistazo, con formato pseudo-documental, al día a día en la vida de unos excéntricos trabajadores de la empresa Dunder Mifflin. El serio pero despistadísimo director Michael Scott se considera un magnífico jefe y mentor, pero realmente inspira más críticas que respeto a sus empleados.",2005,Comedia,Desconocido,"Rainn Wilson, John Krasinski, Jenna Fischer, Ed Helms",9,186,60,8.579,0,Desconocido
